K86 Happy Happy Egg Cake TF 30g x 120p,10,1011.74
K89 Hpy Hpy Egg Cake Choc  27G x 120P,10,1011.74
C358 Mazelo fruit gang 190g x 24P,50,988.15
C392 Kapi Candy 2.475 kg X 4J Tradeoffer,625,2058.62
C408 Grand Londonderry 594+43.56g x 12J,150,1482.21
C409 Bigger Mango Bite 585+42.9g X 12J,150,1482.21
C416 Biger MangoBite 838.5+85.8gX15p WSK,215,2655.64
C417 GR Londonderry 851.4+87.12gX15p WSK,215,2655.64
C423 Bigger Orange Bite 838.5+85.8g X15p,215,2655.64
C426 Bigger Orange Bite 585+42.9g X 12J,150,1482.21
C427 Bigger Kaccha MB 594+43.56g x 12J,150,1482.21
C428 Assorted Mazelo 594+43.56g X 12J,150,1482.21
C430 Assorted Mazelo 198G X 48P,50,1976.29
C431 Bigger Kaccha Mango Bite 198g X 48P,50,1976.29
C432 Grand Londonderry 198g X 48 PB,50,1976.29
C433 Bigger Orange Bite 195g X 48 PB,50,1976.29
C434 Bigger Mango Bite 195g X 48 PB,50,1976.29
C437 Mazelo Fruit Gang 570g X 12J,150,1482.21
C439 Poppins12.6g x 1000 Rolls(50 Rolls),2,1646.91
C445 Assorted Mazelo 3.168kg+316.8g X 2J,800,1317.51
C446 Bigger KMB 3.168kg+316.8g X 2 Jars,800,1317.51
C447 GR Londonderry 3.168kg+316.8gX2Jars,800,1317.51
C450 Bigger OrangeBite 3.120K+312G Frx2J,800,1317.51
C451 Bigger Mango Bite3.120Kg+312G Frx2J,800,1317.51
C454 Kaccha Mango Bite  260.38g X 36 PB,50,1521.91
C455 Londonderry  260.38g X 40 PB (WSK),50,1721.76
C456 Mango Bite 271.66g X 40 PB (WSK),50,1721.76
C457 Orange Bite 271.66g X 40 PB (WSK),50,1691.01
C459 Kapi Candy 950.4g X 12J (w/o offer),240,2371.55
C462 Poppins 100g X 36Pkts,30,1022.73
C464 Rola Cola 100g x 36P (144 Rolls),30,1022.73
C465 Poppins 25gX400 R (50Rolls Per Crt),5,1646.91
C466 Rola Cola 25gX400R(50Rolls Per Crt),5,1646.91
T282 Kismi Assorted  245.5g X 32 PB,50,1317.51
T400 Kismi Assorted 736.5+54.01g X 12J,150,1482.21
T402 Kismi Gold 736.5+54.01g X 12J,150,1482.21
T403 Bigger Parle 2 IN 1 Ecl 637.56gX12J,150,1482.21
T404 Kismi Elaichi Bar 12g x 960 BARS,2,1581.04
T408 Melody Choco 586.5g X 12J,150,1517.6
T409 Melody Choco 1.564k X 8J,400,2697.97
T410 Melody Choco 3.128Kg X 2J,800,1348.98
T417 Kismi Gold 3.928kg+392.8g X 2J,800,1317.51
T418 Kismi Gold 3.928kg X 2J Trade offer,800,0
T419 Kismi Gold 1.964kg+157.12g X 6Jars,400,2272.72
T422 Melody Chocolaty 175.95g X 48 PB,50,2023.47
T424 Melody Max Chocolaty 135.7g X 60 PB,50,2463.35
T425 Melody Max Chocolaty 271.4g X 32 PB,100,2627.58
T426 Parle 2 In 1 Eclairs 241.58g X 36PB,50,1521.91
T427 Kismi Toffee 276.36g X 40 PB,50,1721.76
T429 Bigger Parle 2in1 Eclr 198gX48 PB,50,1976.29
T430 Cafechino 222.75 X 40P,50,1646.91
T432 Kismi Gold 245.5g X 36p,50,1482.21
T435 Bigger 2in1 Ec 3.168kg+316.8gX2J,800,1515.15
T437 Bigger 2in1 Eclr 1.584Kg+126.72gX6J,400,1976.29
T75 Melody Choco 391g X 24 PB,100,2023.47
N1494 FT  Masala Masti 100g X 60p,30,1243.44
N1495 FT Tangy Tomato 100g X 60p,30,1243.44
N1496 FT Noodle Masala 100g X 60p,30,1243.44
N1508 FT Masala Masti 35g X 168p,10,1266.01
N1509 FT Tangy Tomato 35g X 168p,10,1266.01
N1510 FT Noodle Masala 35g X 168p,10,1266.01
N1580 FT Masala Masti 15+3g X 225p,5,946.18
N1581 FT Tangy Tomato 15+3g X 225p,5,946.18
N1582 FT Noodle Masala 15+3g X 225p,5,946.18
N1583 FT Chilli Chatpata 15+3g X 225p,5,946.18
N1585 FT Chilli Chatpata 35g X 168p,10,1266.01
N1586 FT Chilli Chatpata 100g X 60p,30,1243.44
N1118 Chatkeen Corn Flake Mix 15g X 360p,5,1474.41
N1364 Chatkeen Aloo Bhujia 1 kg  x 10P,290,1865.17
N1365 Chatkeen Bhujia Sev 1 kg  x 10 P,290,1931.09
N1366 Chatkeen Hot N Spicy 1 kg  x 10 P,290,1865.17
N1426 Chatkeen AlooBhujia  500gx20p Ecom,200,3139.91
N1427 Chatkeen BhujiaSev  500gx20p Ecom,200,3139.91
N1428 Chatkeen MoongDal  500g x 20p Ecom,225,3532.41
N1432 Chatkeen HotNSpicy  530gx20p Ecom,200,3139.91
N1433 Chatkeen KT Meetha  530gx20p Ecom,200,3139.91
N1520 Chatkeen Moong Dal 400g X 24p,128,2147.81
N1537 Chatkeen Bhujia Sev 13.3+2.7gX504p,5,1945.73
N1538 Chatkeen AlooBhujia 13.3+2.7gX504p,5,1945.73
N1539 Chatkeen HotnSpicy 13.3+2.7gX504p,5,1945.73
N1540 Chatkeen KT Meetha 13.3+2.7gX504p,5,1945.73
N1541 Chatkeen Tas Peanut 13.3+2.7gX504p,5,1945.73
N1542 Chatkeen MSL Chana 13.3+2.7gX504p,5,1945.73
N1543 Chatkeen SaltPeanut 12.5+2.5gX504p,5,1945.73
N1544 Chatkeen Moong Dal 12.5+2.5gX504p,5,1945.73
N1545 Chatkeen South Mixture 16g X 504p,5,1945.73
N1546 Chatkeen Ratlami Sev 16g X 504p,5,1945.73
N1548 Chatkeen Punjabi Tadka 16g X 360p,5,1389.79
N1549 Chatkeen Farali Chiwda 16g X 504p,5,1945.73
N1550 Chatkeen Sev Murmura 20g X 240p,5,982.94
N1551 Chatkeen Aloo Bhujia 32g X 288p,10,2223.69
N1552 Chatkeen Bhujia Sev 32g X 288p,10,2223.69
N1553 Chatkeen HotNSpicy 32g X 288p,10,2223.69
N1554 Chatkeen KT Meetha 32g X 288p,10,2223.69
N1555 Chatkeen Tasty Peanut 32g X 288p,10,2223.69
N1556 Chatkeen Moong Dal 30g X 288p,10,2223.69
N1557 Chatkeen Salted Peanut 25g X 288p,10,2223.69
N1558 Chatkeen Sev Murmura 40g X 160p,10,1310.57
N1559 Chatkeen But Murukku 16g X 288p,5,1179.52
N1560 Chatkeen Lite Chiwda 17g X 288p,5,1111.84
N1561 Chatkeen Farali Chiwda 32g X 288p,10,2223.69
N1562 Chatkeen Ratlami Sev 32g X 288p,10,2223.69
N1565 Chatkeen Moong Dal 50g X 144p,20,2260.74
N1566 Chatkeen Hot N Spicy 65g X 144p,20,2260.74
N1567 Chatkeen KT Meetha 65g X 144p,20,2260.74
N1568 Chatkeen Aloo Bhujia 60g X 144p,20,2260.74
N1569 Chatkeen Bhujia Sev 60g X 144p,20,2260.74
N1570 Chatkeen Hot N Spicy 400g X 24p,105,1831.34
N1571 Chatkeen KT Meetha 400g X 24p,105,1978.14
N1572 Chatkeen Aloo Bhujia 400g X 24p,110,1894.71
N1573 Chatkeen Bhujia Sev 400g X 24p,110,2072.35
N1587 Chatkeens Assorted 300g X 24 Combi,89,1676.71
N1589 Chatkeens HotNSpicy 200g X 48P,50,1883.95
N1594 Chatkeens Moong Dal 200g X 48 P,60,2260.74
N1595 Chatkeens Khatta Meetha 200g X 48P,50,1883.95
N1596 Chatkeens Aloo Bhujia 200g X 48P,60,2260.74
N1597 Chatkeens Bhujia Sev 200g X 48 P,60,2260.74
N1598 Chatkeens Tasty Peanuts 200g X 48P,60,2260.74
N1600 Chatkeens Chtpata Matar 30g X 288P,10,2223.69
N1601 Chatkeens Lite Chiwda 34gx288 P,10,2223.69
N1602 Chatkeens Msl Chana Dal 32gx288 P,10,2223.69
N1603 Chatkeens Punjabi Tadka 32gx288 P,10,2712.88
N1604 Chatkeens Butter Murukku 32gx240P,10,2260.74
N1605 Chatkeens Corn Flakes 30gx288 P,10,2223.69
