CATEGORY,Column1,MRP,INVOICE RATE,SCHEME,AFTER SCHEME DEDCTION RATE,SEMI WS RATE5 (2%),RETAIL RATE(3%),RATE (5%)
,BH246 Parle G Oats&Berries 75+18.75GX72P,10,618.08,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH249 Parle G  Cookies 120+30G x 20P,20,337.24,1,337.24,343.9848,347.3572,354.102
,BH25 Milk Shakti 250+50g X 15p EZ,45,569.11,1,569.11,580.4922,586.1833,597.5655
,BH253 Multivita Marie 103.5G X 72P,20,1214.08,1.05,1156.266667,1179.392,1190.954667,1214.08
,BH255 Multivita Marie 162G X 40P,30,1011.74,1.05,963.5619048,982.8331429,992.4687619,1011.74
,BH262 Multivita Marie 243G X 20P,40,674.49,1.05,642.3714286,655.2188571,661.6425714,674.49
,BH267 Aloo Bikki Spicy Masala 304g X 8p,150,1011.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH268 Aloo Bikki Mexican Salsa 304g X 8p,150,1011.74,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH269 Aloo Bikki Chipotle 304g X 8p,150,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BH271KrackjackJeera56.7+6.3gX120p Sslug,10,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BH273 20-20 Butter Cookies 135G X 20 P,20,337.24,1,337.24,343.9848,347.3572,354.102
,BH274 Milk Shakti 30+5g X 55+5p TLO,5,231.85,1,231.85,236.487,238.8055,243.4425
,BH276 Milk Shakti 60+15g X 120p,10,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BH289 Parle-G Gluco 90g + 10g X 72p SS,10,618.08,1,618.08,630.4416,636.6224,648.984
,BH301 Fab Bourbon  50g  X 120 PKTS,10,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,BH309 Parle-G Royale 50G+22G x 120P,10,1030.13,1,1030.13,1050.7326,1061.0339,1081.6365
,BH31 Parle Marie 9.4g X 810p,2,1070.82,1.05,1019.828571,1040.225143,1050.423429,1070.82
,BH311 20-20 GoldCK BTR 52.5+7.5G X 72P,10,607.05,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH315 Yummy Dlite 27G X 96p,5,480,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH325 Hpy Hpy60g+10gx96p(12p)Pillow Pack,10,809.38,1,809.38,825.5676,833.6614,849.849
,BH326 Happy Happy 120g(12p) x 36p,20,607.05,1,607.05,619.191,625.2615,637.4025
,BH328 20-20 Gold Cash Alm 604.8g x 12p,160,1813.03,1,1813.03,1849.2906,1867.4209,1903.6815
,BH334 Krackjack Butter Masala 307.8Gx8P,130,491.03,1,491.03,500.8506,505.7609,515.5815
,BH338 Parle Marie 800g X 10p,175,826.25,1.05,786.9047619,802.6428571,810.5119048,826.25
,BH361 Monaco Piri Piri 311.04g X 8 P,130,491.03,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH362 Monaco Pizza 311.04g X 8 PKTS,130,491.03,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BH53 Parle-G Gluco 130g X 72p,15,927.11,1,927.11,945.6522,954.9233,973.4655
,BH60 Parle-G Cookies 52.5+22.5g X 80p,10,674.49,1,674.49,687.9798,694.7247,708.2145
,BH62 Parle-G Cookies 28+12g X 144p,5,607.05,1,607.05,619.191,625.2615,637.4025
,BH64 20-20 Gold Choco Chips 400g X 12p,150,1517.6,1,1517.6,1547.952,1563.128,1593.48
,BH66 Magix KR RD OR 183.6g X 40p,60,1030.13,1.08,953.8240741,972.9005556,982.4387963,1001.515278
,BH67 Magix KR RD CH 183.6g X 40p,60,1030.13,1.08,953.8240741,972.9005556,982.4387963,1001.515278
,BH86 Parle-G Bheem 90g X 96p,10,824.11,1,824.11,840.5922,848.8333,865.3155
,BH92 Monaco 52.2+5.8g X 120p Single Slug,10,910.56,1,910.56,928.7712,937.8768,956.088
CAKE,K68 HH Egg cake Vanilla 120g X 36p,40,1214.08,1,1214.08,1238.3616,1250.5024,1274.784
,K69 HH Egg cake Tutti Fruity 120g X 36p,40,1214.08,1,1214.08,1238.3616,1250.5024,1274.784
,K73 HH Egg Cake Choco 90g X 48p,40,1618.79,1,1618.79,1651.1658,1667.3537,1699.7295
,K74 HH Egg Cake Tutti Fruity 18g X 360p,5,1517.6,1,1517.6,1547.952,1563.128,1593.48
,K75 HH Egg Cake Vanilla 18g X 360p,5,1517.6,1,1517.6,1547.952,1563.128,1593.48
